2020-06-10 15:56:44 status unpacked iso-codes:all 3.65-1
2020-06-10 15:56:44 status half-configured iso-codes:all 3.65-1
2020-06-10 15:56:44 status installed iso-codes:all 3.65-1
2020-06-10 15:56:44 configure libdbus-glib-1-2:amd64 0.106-1 <none>
2020-06-10 15:56:44 status unpacked libdbus-glib-1-2:amd64 0.106-1
2020-06-10 15:56:44 status half-configured libdbus-glib-1-2:amd64 0.106-1
2020-06-10 15:56:44 status installed libdbus-glib-1-2:amd64 0.106-1
2020-06-10 15:56:44 configure powermgmt-base:all 1.31+nmu1 <none>
2020-06-10 15:56:44 status unpacked powermgmt-base:all 1.31+nmu1
2020-06-10 15:56:44 status half-configured powermgmt-base:all 1.31+nmu1
2020-06-10 15:56:44 status installed powermgmt-base:all 1.31+nmu1
2020-06-10 15:56:44 configure python-apt-common:all 1.1.0~beta1ubuntu0.16.04.9 <none>
2020-06-10 15:56:44 status unpacked python-apt-common:all 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:44 status half-configured python-apt-common:all 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:44 status installed python-apt-common:all 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:44 configure python3-apt:amd64 1.1.0~beta1ubuntu0.16.04.9 <none>
2020-06-10 15:56:44 status unpacked python3-apt:amd64 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:44 status half-configured python3-apt:amd64 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:45 status installed python3-apt:amd64 1.1.0~beta1ubuntu0.16.04.9
2020-06-10 15:56:45 configure python3-dbus:amd64 1.2.0-3 <none>
2020-06-10 15:56:45 status unpacked python3-dbus:amd64 1.2.0-3
2020-06-10 15:56:45 status half-configured python3-dbus:amd64 1.2.0-3
2020-06-10 15:56:45 status installed python3-dbus:amd64 1.2.0-3
2020-06-10 15:56:45 configure python3-gi:amd64 3.20.0-0ubuntu1 <none>
2020-06-10 15:56:45 status unpacked python3-gi:amd64 3.20.0-0ubuntu1
2020-06-10 15:56:45 status half-configured python3-gi:amd64 3.20.0-0ubuntu1
2020-06-10 15:56:45 status installed python3-gi:amd64 3.20.0-0ubuntu1
2020-06-10 15:56:45 configure python3-pycurl:amd64 7.43.0-1ubuntu1 <none>
2020-06-10 15:56:45 status unpacked python3-pycurl:amd64 7.43.0-1ubuntu1
2020-06-10 15:56:45 status half-configured python3-pycurl:amd64 7.43.0-1ubuntu1
2020-06-10 15:56:46 status installed python3-pycurl:amd64 7.43.0-1ubuntu1
2020-06-10 15:56:46 configure python3-software-properties:all 0.96.20.9 <none>
2020-06-10 15:56:46 status unpacked python3-software-properties:all 0.96.20.9
2020-06-10 15:56:46 status half-configured python3-software-properties:all 0.96.20.9
2020-06-10 15:56:46 status installed python3-software-properties:all 0.96.20.9
2020-06-10 15:56:46 configure software-properties-common:all 0.96.20.9 <none>
2020-06-10 15:56:46 status unpacked software-properties-common:all 0.96.20.9
2020-06-10 15:56:46 status unpacked software-properties-common:all 0.96.20.9
2020-06-10 15:56:46 status half-configured software-properties-common:all 0.96.20.9
2020-06-10 15:56:46 status installed software-properties-common:all 0.96.20.9
2020-06-10 15:56:46 configure unattended-upgrades:all 1.1ubuntu1.18.04.7~16.04.6 <none>
2020-06-10 15:56:46 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.7~16.04.6
2020-06-10 15:56:46 status triggers-pending systemd:amd64 229-4ubuntu21.15
2020-06-10 15:56:46 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.7~16.04.6
2020-06-10 15:56:46 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.7~16.04.6
2020-06-10 15:56:46 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.7~16.04.6
2020-06-10 15:56:46 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.7~16.04.6
2020-06-10 15:56:46 status unpacked unattended-upgrades:all 1.1ubuntu1.18.04.7~16.04.6
2020-06-10 15:56:46 status half-configured unattended-upgrades:all 1.1ubuntu1.18.04.7~16.04.6
2020-06-10 15:56:48 status installed unattended-upgrades:all 1.1ubuntu1.18.04.7~16.04.6
2020-06-10 15:56:48 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2020-06-10 15:56:48 status half-configured libc-bin:amd64 2.23-0ubuntu10
2020-06-10 15:56:48 status installed libc-bin:amd64 2.23-0ubuntu10
2020-06-10 15:56:48 trigproc systemd:amd64 229-4ubuntu21.15 <none>
2020-06-10 15:56:48 status half-configured systemd:amd64 229-4ubuntu21.15
2020-06-10 15:56:48 status installed systemd:amd64 229-4ubuntu21.15
2020-06-10 15:56:48 startup packages configure
2020-06-10 15:56:57 startup archives unpack
2020-06-10 15:56:57 install libpython3.7-minimal:amd64 <none> 3.7.7-1+xenial1
2020-06-10 15:56:57 status half-installed libpython3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:56:57 status unpacked libpython3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:56:57 status unpacked libpython3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:56:58 install python3.7-minimal:amd64 <none> 3.7.7-1+xenial1
2020-06-10 15:56:58 status half-installed python3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:56:58 status triggers-pending man-db:amd64 2.7.5-1
2020-06-10 15:56:58 status unpacked python3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:56:58 status unpacked python3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:56:58 install libpython3.7-stdlib:amd64 <none> 3.7.7-1+xenial1
2020-06-10 15:56:58 status half-installed libpython3.7-stdlib:amd64 3.7.7-1+xenial1
2020-06-10 15:56:58 status unpacked libpython3.7-stdlib:amd64 3.7.7-1+xenial1
2020-06-10 15:56:58 status unpacked libpython3.7-stdlib:amd64 3.7.7-1+xenial1
2020-06-10 15:56:58 install python3.7-lib2to3:all <none> 3.7.7-1+xenial1
2020-06-10 15:56:58 status half-installed python3.7-lib2to3:all 3.7.7-1+xenial1
2020-06-10 15:56:58 status unpacked python3.7-lib2to3:all 3.7.7-1+xenial1
2020-06-10 15:56:58 status unpacked python3.7-lib2to3:all 3.7.7-1+xenial1
2020-06-10 15:56:58 install python3.7-distutils:all <none> 3.7.7-1+xenial1
2020-06-10 15:56:58 status half-installed python3.7-distutils:all 3.7.7-1+xenial1
2020-06-10 15:56:58 status unpacked python3.7-distutils:all 3.7.7-1+xenial1
2020-06-10 15:56:58 status unpacked python3.7-distutils:all 3.7.7-1+xenial1
2020-06-10 15:56:58 install python3.7:amd64 <none> 3.7.7-1+xenial1
2020-06-10 15:56:58 status half-installed python3.7:amd64 3.7.7-1+xenial1
2020-06-10 15:56:58 status triggers-pending mime-support:all 3.59ubuntu1
2020-06-10 15:56:58 status unpacked python3.7:amd64 3.7.7-1+xenial1
2020-06-10 15:56:58 status unpacked python3.7:amd64 3.7.7-1+xenial1
2020-06-10 15:56:58 trigproc man-db:amd64 2.7.5-1 <none>
2020-06-10 15:56:58 status half-configured man-db:amd64 2.7.5-1
2020-06-10 15:56:59 status installed man-db:amd64 2.7.5-1
2020-06-10 15:56:59 trigproc mime-support:all 3.59ubuntu1 <none>
2020-06-10 15:56:59 status half-configured mime-support:all 3.59ubuntu1
2020-06-10 15:56:59 status installed mime-support:all 3.59ubuntu1
2020-06-10 15:56:59 startup packages configure
2020-06-10 15:56:59 configure libpython3.7-minimal:amd64 3.7.7-1+xenial1 <none>
2020-06-10 15:56:59 status unpacked libpython3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:56:59 status unpacked libpython3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:56:59 status half-configured libpython3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:56:59 status installed libpython3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:56:59 configure python3.7-minimal:amd64 3.7.7-1+xenial1 <none>
2020-06-10 15:56:59 status unpacked python3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:56:59 status half-configured python3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:57:00 status installed python3.7-minimal:amd64 3.7.7-1+xenial1
2020-06-10 15:57:00 configure libpython3.7-stdlib:amd64 3.7.7-1+xenial1 <none>
2020-06-10 15:57:00 status unpacked libpython3.7-stdlib:amd64 3.7.7-1+xenial1
2020-06-10 15:57:00 status half-configured libpython3.7-stdlib:amd64 3.7.7-1+xenial1
2020-06-10 15:57:00 status installed libpython3.7-stdlib:amd64 3.7.7-1+xenial1
2020-06-10 15:57:00 configure python3.7-lib2to3:all 3.7.7-1+xenial1 <none>
2020-06-10 15:57:00 status unpacked python3.7-lib2to3:all 3.7.7-1+xenial1
2020-06-10 15:57:00 status half-configured python3.7-lib2to3:all 3.7.7-1+xenial1
2020-06-10 15:57:00 status installed python3.7-lib2to3:all 3.7.7-1+xenial1
2020-06-10 15:57:00 configure python3.7-distutils:all 3.7.7-1+xenial1 <none>
2020-06-10 15:57:00 status unpacked python3.7-distutils:all 3.7.7-1+xenial1
2020-06-10 15:57:00 status half-configured python3.7-distutils:all 3.7.7-1+xenial1
2020-06-10 15:57:00 status installed python3.7-distutils:all 3.7.7-1+xenial1
2020-06-10 15:57:00 configure python3.7:amd64 3.7.7-1+xenial1 <none>
2020-06-10 15:57:00 status unpacked python3.7:amd64 3.7.7-1+xenial1
2020-06-10 15:57:00 status half-configured python3.7:amd64 3.7.7-1+xenial1
2020-06-10 15:57:01 status installed python3.7:amd64 3.7.7-1+xenial1
2020-06-10 15:57:01 startup packages configure
2020-06-10 15:57:17 startup archives unpack
2020-06-10 15:57:17 install libjpeg-turbo8:amd64 <none> 1.4.2-0ubuntu3.4
2020-06-10 15:57:17 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2020-06-10 15:57:17 status half-installed libjpeg-turbo8:amd64 1.4.2-0ubuntu3.4
2020-06-10 15:57:17 status unpacked libjpeg-turbo8:amd64 1.4.2-0ubuntu3.4
2020-06-10 15:57:17 status unpacked libjpeg-turbo8:amd64 1.4.2-0ubuntu3.4
2020-06-10 15:57:17 install libjbig0:amd64 <none> 2.1-3.1
2020-06-10 15:57:17 status half-installed libjbig0:amd64 2.1-3.1
2020-06-10 15:57:17 status unpacked libjbig0:amd64 2.1-3.1
2020-06-10 15:57:17 status unpacked libjbig0:amd64 2.1-3.1
2020-06-10 15:57:17 install libjpeg8:amd64 <none> 8c-2ubuntu8
2020-06-10 15:57:17 status half-installed libjpeg8:amd64 8c-2ubuntu8
2020-06-10 15:57:17 status unpacked libjpeg8:amd64 8c-2ubuntu8
2020-06-10 15:57:17 status unpacked libjpeg8:amd64 8c-2ubuntu8
2020-06-10 15:57:17 install liblua5.2-0:amd64 <none> 5.2.4-1ubuntu1
2020-06-10 15:57:17 status half-installed liblua5.2-0:amd64 5.2.4-1ubuntu1
2020-06-10 15:57:17 status unpacked liblua5.2-0:amd64 5.2.4-1ubuntu1
2020-06-10 15:57:17 status unpacked liblua5.2-0:amd64 5.2.4-1ubuntu1
2020-06-10 15:57:17 install libmaxminddb0:amd64 <none> 1.0.4-2.1
2020-06-10 15:57:17 status half-installed libmaxminddb0:amd64 1.0.4-2.1
2020-06-10 15:57:17 status triggers-pending man-db:amd64 2.7.5-1
2020-06-10 15:57:17 status unpacked libmaxminddb0:amd64 1.0.4-2.1
2020-06-10 15:57:17 status unpacked libmaxminddb0:amd64 1.0.4-2.1
2020-06-10 15:57:17 install libnghttp2-14:amd64 <none> 1.7.1-1
2020-06-10 15:57:17 status half-installed libnghttp2-14:amd64 1.7.1-1
2020-06-10 15:57:17 status unpacked libnghttp2-14:amd64 1.7.1-1
2020-06-10 15:57:17 status unpacked libnghttp2-14:amd64 1.7.1-1
2020-06-10 15:57:17 install libsmi2ldbl:amd64 <none> 0.4.8+dfsg2-11
2020-06-10 15:57:17 status half-installed libsmi2ldbl:amd64 0.4.8+dfsg2-11
2020-06-10 15:57:17 status unpacked libsmi2ldbl:amd64 0.4.8+dfsg2-11
2020-06-10 15:57:17 status unpacked libsmi2ldbl:amd64 0.4.8+dfsg2-11
2020-06-10 15:57:17 install libtiff5:amd64 <none> 4.0.6-1ubuntu0.7
2020-06-10 15:57:17 status half-installed libtiff5:amd64 4.0.6-1ubuntu0.7
2020-06-10 15:57:17 status unpacked libtiff5:amd64 4.0.6-1ubuntu0.7
2020-06-10 15:57:17 status unpacked libtiff5:amd64 4.0.6-1ubuntu0.7
2020-06-10 15:57:17 install libspandsp2:amd64 <none> 0.0.6-2.1
2020-06-10 15:57:17 status half-installed libspandsp2:amd64 0.0.6-2.1
2020-06-10 15:57:17 status unpacked libspandsp2:amd64 0.0.6-2.1
2020-06-10 15:57:17 status unpacked libspandsp2:amd64 0.0.6-2.1
2020-06-10 15:57:17 install libssh-gcrypt-4:amd64 <none> 0.6.3-4.3ubuntu0.5
2020-06-10 15:57:17 status half-installed libssh-gcrypt-4:amd64 0.6.3-4.3ubuntu0.5
